year,month,day_of_month,day_of_week,departure_time,arrival_time,carrier,flight_number,total_flight_time,origin_airport,dest_airport,distance,delay
2007,11,30,5,1300,1330,MQ,3705,79,DFW,ROW,435,122
2007,1,21,7,1815,2023,US,1724,146,TPA,DCA,814,106
2007,12,24,1,1955,2101,OH,5228,66,CVG,GRR,268,0
2007,6,26,2,630,1059,CO,1715,137,TUS,IAH,936,-5
2007,11,18,7,1409,1540,OO,6673,143,RFD,DEN,829,-16
2007,5,18,5,1335,1610,WN,539,155,MDW,HOU,937,15
2007,8,24,5,1805,2105,B6,18,196,FLL,JFK,1069,7
2007,12,23,7,1251,1934,US,685,271,PHX,EWR,2133,130
2007,11,17,6,710,915,WN,496,70,SAN,PHX,304,0
2007,3,7,3,1817,2007,FL,217,115,BOS,CAK,549,-7
2007,12,5,3,1440,2010,WN,2032,208,LAS,BNA,1588,-1
2007,12,31,1,1035,1112,AQ,208,38,HNL,OGG,100,0
2007,9,12,3,1635,1725,AA,1807,171,DFW,LAS,1055,3
2007,3,15,4,755,817,UA,699,83,CMH,ORD,296,1
2007,9,9,7,1905,2103,XE,2782,112,EWR,RIC,278,-7
2007,7,30,1,810,1110,MQ,3719,123,DFW,TYS,772,2
2007,5,29,2,1906,2157,NW,876,120,MSP,SDF,603,16
2007,3,9,5,1410,1705,AA,1179,164,ORD,SAT,1041,-15
2007,3,25,7,1528,1759,AS,696,138,SEA,LAS,866,-1
2007,12,25,2,1540,1745,WN,2113,135,SAT,BNA,822,8
2007,10,27,6,1230,1500,WN,1708,271,MDW,OAK,1844,-4
2007,7,28,6,1300,1410,OO,1976,123,ATL,MCI,692,6
2007,10,2,2,1157,1257,9E,5868,138,DTW,OMA,651,149
2007,11,1,4,830,1036,US,1575,120,DCA,JAX,634,-10
2007,11,18,7,840,940,WN,1236,53,FLL,TPA,197,-8
2007,4,2,1,1605,1934,CO,1597,194,EWR,RSW,1068,-4
2007,1,31,3,1900,2026,YV,7374,90,GSP,IAD,383,-1
2007,10,12,5,1710,1800,WN,602,49,BWI,ORF,159,10
2007,12,19,3,535,820,CO,1516,172,ORD,IAH,925,5
2007,11,22,4,600,729,US,1575,69,BDL,DCA,313,-24
2007,7,24,2,1630,1740,WN,1139,65,LAS,LAX,236,-1
2007,10,17,3,2055,2204,US,98,70,SNA,LAS,226,-13
2007,9,7,5,2118,2158,DL,1832,100,SLC,PHX,507,-3
2007,4,17,2,2125,2239,OO,3914,77,SLC,BTM,357,61
2007,5,26,6,1210,1324,XE,2717,239,BTR,IAH,253,170
2007,8,3,5,1305,1418,YV,2656,65,CLT,RIC,256,-8
2007,6,14,4,1230,1359,XE,2622,65,BUF,EWR,282,-22
2007,5,12,6,935,1050,US,83,79,SNA,PHX,338,7
2007,9,16,7,1800,1938,CO,331,157,PBI,IAH,956,-8
2007,6,17,7,1550,1655,WN,797,58,MAF,DAL,319,-3
2007,9,27,4,915,1036,CO,497,206,IAH,LAS,1222,-2
2007,3,15,4,1515,1630,MQ,4818,102,BOS,LGA,185,83
2007,9,7,5,620,725,9E,4762,71,SUX,MSP,234,2
2007,5,7,1,1245,1810,WN,2647,228,LAX,STL,1593,28
2007,11,25,7,1200,1305,WN,467,119,ABQ,LAX,677,1
2007,12,3,1,1322,1441,UA,362,81,SLC,DEN,391,-7
2007,7,12,4,1944,2056,DL,1462,142,ATL,OKC,761,9
2007,4,1,7,925,1140,NW,202,86,MEM,ATL,332,9
2007,10,18,4,630,725,WN,1010,115,IAD,MDW,577,0
2007,6,6,3,600,842,AS,228,168,SEA,LAX,954,1
2007,11,5,1,1835,2042,F9,673,248,MCO,DEN,1545,-4
2007,12,3,1,1224,1458,UA,231,317,IAD,SAN,2253,-1
2007,2,5,1,1013,1134,YV,7141,80,GSP,IAD,383,6
2007,7,17,2,1720,1827,US,371,239,ATL,PHX,1587,12
2007,3,8,4,710,850,MQ,4497,162,BDL,ORD,783,1
2007,12,3,1,1305,1624,NW,200,140,MSP,DCA,931,8
2007,12,23,7,1420,1545,MQ,3177,75,SJC,SAN,417,24
2007,12,5,3,920,1145,AA,1049,298,STL,SFO,1736,33
2007,9,4,2,700,822,NW,771,252,IND,LAX,1814,-13
2007,7,28,6,1655,2025,AA,1276,140,DFW,CLT,936,-10
2007,12,10,1,705,930,AA,471,204,DCA,DFW,1192,-1
2007,3,30,5,1720,1942,UA,949,252,ORD,SEA,1721,-9
