vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-10-23T16:39:42.000,2019-10-23T17:14:10.000,1,7.93,1,N,138,170,1,29.5,1,0.5,7.98,6.12,0.3,47.9,2.5
1,2019-10-23T16:32:08.000,2019-10-23T16:45:26.000,1,2.00,1,N,11,26,1,10.5,1,0.5,0,0,0.3,12.3,0
2,2019-10-23T16:08:44.000,2019-10-23T16:21:11.000,1,1.36,1,N,163,162,1,9.5,1,0.5,2,0,0.3,15.8,2.5
2,2019-10-23T16:22:44.000,2019-10-23T16:43:26.000,1,1.00,1,N,170,163,1,13,1,0.5,4.32,0,0.3,21.62,2.5
2,2019-10-23T16:45:11.000,2019-10-23T16:58:49.000,1,1.96,1,N,163,236,1,10.5,1,0.5,0.5,0,0.3,15.3,2.5
2,2019-10-23T16:31:12.000,2019-10-23T16:43:20.000,1,1.62,1,N,161,90,1,9,1,0.5,2.66,0,0.3,15.96,2.5
2,2019-10-23T16:47:10.000,2019-10-23T16:53:17.000,1,0.85,1,N,68,90,1,6,1,0.5,1.24,0,0.3,11.54,2.5
2,2019-10-23T16:57:35.000,2019-10-23T17:21:28.000,1,4.70,1,N,234,238,1,18.5,1,0.5,2.28,0,0.3,25.08,2.5
1,2019-10-23T16:11:36.000,2019-10-23T16:19:33.000,1,0.80,1,N,234,186,1,6.5,3.5,0.5,2.15,0,0.3,12.95,2.5
1,2019-10-23T16:21:48.000,2019-10-23T16:30:04.000,2,0.60,1,N,100,230,1,6.5,3.5,0.5,2.15,0,0.3,12.95,2.5
1,2019-10-23T16:35:02.000,2019-10-23T17:57:38.000,2,18.20,2,N,230,132,1,52,7,0.5,6,6.12,0.3,71.92,2.5
1,2019-10-23T16:17:33.000,2019-10-23T16:32:58.000,1,2.10,1,N,79,162,1,11.5,3.5,0.5,2,0,0.3,17.8,2.5
1,2019-10-23T16:35:45.000,2019-10-23T16:39:14.000,1,0.70,1,N,170,233,2,4.5,3.5,0.5,0,0,0.3,8.8,2.5
2,2019-10-23T16:34:52.000,2019-10-23T16:47:38.000,1,2.86,1,N,229,113,1,11.5,1,0.5,3.16,0,0.3,18.96,2.5
2,2019-10-23T16:49:24.000,2019-10-23T16:59:20.000,2,1.32,1,N,113,211,1,8,1,0.5,2.46,0,0.3,14.76,2.5
2,2019-10-23T17:01:08.000,2019-10-23T17:18:22.000,1,1.99,1,N,144,170,1,12,1,0.5,4.89,0,0.3,21.19,2.5
2,2019-10-23T16:07:34.000,2019-10-23T16:12:48.000,2,1.13,1,N,151,166,2,-5.5,-1,-0.5,0,0,-0.3,-7.3,0
2,2019-10-23T16:07:34.000,2019-10-23T16:12:48.000,2,1.13,1,N,151,166,2,5.5,1,0.5,0,0,0.3,7.3,0
2,2019-10-23T16:21:32.000,2019-10-23T16:33:02.000,2,2.94,1,N,151,50,1,11.5,1,0.5,0,0,0.3,15.8,2.5
2,2019-10-23T16:45:33.000,2019-10-23T16:48:49.000,1,0.70,1,N,143,239,1,4.5,1,0.5,1,0,0.3,9.8,2.5
1,2019-10-23T16:11:23.000,2019-10-23T16:16:18.000,1,0.40,1,N,161,164,1,5,3.5,0.5,1,0,0.3,10.3,2.5
2,2019-10-23T16:10:20.000,2019-10-23T16:23:14.000,1,2.17,1,N,142,246,1,10.5,1,0.5,2.96,0,0.3,17.76,2.5
2,2019-10-23T16:27:14.000,2019-10-23T16:29:52.000,1,0.38,1,N,68,158,1,3.5,1,0.5,1.56,0,0.3,9.36,2.5
2,2019-10-23T16:38:18.000,2019-10-23T16:59:49.000,1,1.84,1,N,158,164,2,13.5,1,0.5,0,0,0.3,17.8,2.5
1,2019-10-23T16:37:56.000,2019-10-23T16:37:59.000,1,0.00,2,N,193,193,3,52,4.5,0.5,0,0,0.3,57.3,0
1,2019-10-23T16:48:27.000,2019-10-23T16:57:42.000,1,0.90,1,N,141,237,2,7,3.5,0.5,0,0,0.3,11.3,2.5
2,2019-10-23T16:19:16.000,2019-10-23T17:04:49.000,2,16.74,2,N,132,233,1,52,4.5,0.5,13.18,6.12,0.3,79.1,2.5
2,2019-10-23T15:02:55.000,2019-10-24T14:55:14.000,1,13.70,1,N,138,46,2,47.5,1,0.5,0,6.12,0.3,55.42,0
2,2019-10-23T16:37:04.000,2019-10-23T16:58:00.000,5,1.92,1,N,43,161,2,13.5,1,0.5,0,0,0.3,17.8,2.5
1,2019-10-23T16:02:23.000,2019-10-23T16:07:03.000,2,0.50,1,N,141,237,2,5,3.5,0.5,0,0,0.3,9.3,2.5
1,2019-10-23T16:03:33.000,2019-10-23T16:18:35.000,2,2.20,1,N,137,148,2,11.5,3.5,0.5,0,0,0.3,15.8,2.5
1,2019-10-23T16:26:01.000,2019-10-23T16:46:13.000,1,2.50,1,N,79,186,1,14,3.5,0.5,4.55,0,0.3,22.85,2.5
1,2019-10-23T16:52:15.000,2019-10-23T17:04:39.000,1,2.00,1,N,234,125,1,10,3.5,0.5,2.85,0,0.3,17.15,2.5
1,2019-10-23T16:34:35.000,2019-10-23T16:55:35.000,1,1.20,1,N,170,230,1,13.5,3.5,0.5,3.55,0,0.3,21.35,2.5
1,2019-10-23T16:57:25.000,2019-10-23T17:09:37.000,4,1.00,1,N,163,162,1,9,3.5,0.5,2.65,0,0.3,15.95,2.5
2,2019-10-23T16:11:52.000,2019-10-23T16:27:27.000,1,0.87,1,N,186,100,1,10,1,0.5,2,0,0.3,16.3,2.5
1,2019-10-23T16:44:05.000,2019-10-23T17:00:03.000,1,1.90,1,N,161,186,1,11.5,3.5,0.5,3.15,0,0.3,18.95,2.5
2,2019-10-23T16:20:44.000,2019-10-23T16:45:17.000,1,3.40,1,N,226,196,2,17,1,0.5,0,0,0.3,18.8,0
2,2019-10-23T16:48:39.000,2019-10-23T17:00:25.000,2,1.93,1,N,196,83,2,10.5,1,0.5,0,0,0.3,12.3,0
1,2019-10-23T16:14:55.000,2019-10-23T16:24:44.000,1,1.60,1,N,79,137,2,8.5,3.5,0.5,0,0,0.3,12.8,2.5
1,2019-10-23T16:39:02.000,2019-10-23T16:52:38.000,1,1.70,1,N,79,107,1,10,3.5,0.5,2.85,0,0.3,17.15,2.5
2,2019-10-23T16:12:20.000,2019-10-23T16:38:36.000,6,3.27,1,N,162,246,1,17.5,1,0.5,2,0,0.3,23.8,2.5
2,2019-10-23T16:50:46.000,2019-10-23T16:57:37.000,6,0.80,1,N,234,90,1,6,1,0.5,2.06,0,0.3,12.36,2.5
1,2019-10-23T16:47:26.000,2019-10-23T16:54:12.000,3,0.90,1,N,236,262,1,6,3.5,0.5,2.55,0,0.3,12.85,2.5
1,2019-10-23T16:55:28.000,2019-10-23T17:01:51.000,1,0.90,1,N,262,236,1,6,3.5,0.5,2.06,0,0.3,12.36,2.5
1,2019-10-23T16:21:44.000,2019-10-23T16:24:06.000,1,0.10,1,N,239,143,2,3.5,3.5,0.5,0,0,0.3,7.8,2.5
1,2019-10-23T16:29:50.000,2019-10-23T16:37:51.000,2,1.20,1,N,143,48,1,7,3.5,0.5,2,0,0.3,13.3,2.5
1,2019-10-23T16:43:12.000,2019-10-23T16:46:32.000,1,0.30,1,N,48,50,1,4,3.5,0.5,1.65,0,0.3,9.95,2.5
1,2019-10-23T16:53:42.000,2019-10-23T17:15:04.000,1,1.40,1,N,48,162,2,13,3.5,0.5,0,0,0.3,17.3,2.5
1,2019-10-23T16:51:11.000,2019-10-23T17:02:14.000,1,1.20,1,N,65,66,2,8.5,1,0.5,0,0,0.3,10.3,0
2,2019-10-23T16:33:55.000,2019-10-23T17:28:47.000,2,8.99,1,N,138,237,2,39,1,0.5,0,6.12,0.3,49.42,2.5
2,2019-10-23T16:08:56.000,2019-10-23T17:04:02.000,3,10.81,1,N,138,161,1,41,1,0.5,12.86,6.12,0.3,64.28,2.5
2,2019-10-23T16:03:58.000,2019-10-23T16:13:11.000,3,0.60,1,N,161,162,1,7,1,0.5,3.39,0,0.3,14.69,2.5
2,2019-10-23T16:16:30.000,2019-10-23T16:25:33.000,3,1.08,1,N,229,237,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
2,2019-10-23T16:28:47.000,2019-10-23T16:38:20.000,3,1.32,1,N,237,239,1,8,1,0.5,2.46,0,0.3,14.76,2.5
2,2019-10-23T16:56:54.000,2019-10-23T17:16:49.000,2,0.99,1,N,163,161,1,12.5,1,0.5,4.2,0,0.3,21,2.5
2,2019-10-23T16:00:05.000,2019-10-23T16:21:11.000,1,3.66,1,N,170,145,1,16.5,1,0.5,4.16,0,0.3,24.96,2.5
1,2019-10-23T16:31:55.000,2019-10-23T17:11:49.000,1,4.50,1,N,146,138,1,25,1,0.5,6.7,0,0.3,33.5,0
1,2019-10-23T16:08:36.000,2019-10-23T16:11:15.000,1,0.30,1,N,262,262,1,4,3.5,0.5,1.65,0,0.3,9.95,2.5
1,2019-10-23T16:21:05.000,2019-10-23T16:53:39.000,3,4.40,1,Y,262,151,1,22,3.5,0.5,2,0,0.3,28.3,2.5
1,2019-10-23T16:04:59.000,2019-10-23T16:19:11.000,1,1.70,1,N,43,141,1,10.5,2.5,0.5,1.5,0,0.3,15.3,2.5
2,2019-10-23T16:09:36.000,2019-10-23T16:31:25.000,1,5.45,1,N,132,139,1,19.5,1,0.5,0,0,0.3,21.3,0
1,2019-10-23T16:13:18.000,2019-10-23T16:17:25.000,2,0.40,1,N,140,141,2,4.5,3.5,0.5,0,0,0.3,8.8,2.5
1,2019-10-23T16:19:57.000,2019-10-23T16:24:33.000,1,0.70,1,N,141,237,1,5,3.5,0.5,1.85,0,0.3,11.15,2.5
2,2019-10-23T16:14:27.000,2019-10-23T16:44:22.000,1,5.36,1,N,100,179,1,22,1,0.5,6.48,6.12,0.3,38.9,2.5
2,2019-10-23T16:21:21.000,2019-10-23T16:43:18.000,1,6.24,1,N,138,135,1,22,1,0.5,1.2,0,0.3,25,0
2,2019-10-23T16:12:35.000,2019-10-23T16:40:23.000,1,4.15,1,N,237,226,2,20.5,1,0.5,0,0,0.3,24.8,2.5
