date,holiday
2019-01-01,New Year's Day
2019-05-27,Memorial Day
2019-07-04,July 4th
2019-09-02,Labor Day
2019-11-28,Thanksgiving
2019-12-24,Christmas Eve
2019-12-25,Christmas Day
2019-12-31,New Year's Eve
2020-01-01,New Year's Day
2020-05-25,Memorial Day
2020-07-04,July 4th
2020-09-07,Labor Day
2020-11-26,Thanksgiving
2020-12-24,Christmas Eve
2020-12-25,Christmas Day
2020-12-31,New Year's Eve
2021-01-01,New Year's Day
2021-05-31,Memorial Day
2021-07-04,July 4th
2021-09-06,Labor Day
2021-11-25,Thanksgiving
2021-12-24,Christmas Eve
2021-12-25,Christmas Day
2021-12-31,New Year's Eve
