Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
5/14/2021,1716561.0,250467,2664549
5/13/2021,1743515.0,234928,2611324
5/12/2021,1424664.0,176667,2343675
5/11/2021,1315493.0,163205,2191387
5/10/2021,1657722.0,215645,2512315
5/9/2021,1707805.0,200815,2419114
5/8/2021,1429657.0,169580,1985942
5/7/2021,1703267.0,215444,2602631
5/6/2021,1644050.0,190863,2555342
5/5/2021,1268938.0,140409,2270662
5/4/2021,1134103.0,130601,2106597
5/3/2021,1463672.0,163692,2470969
5/2/2021,1626962.0,170254,2512598
5/1/2021,1335535.0,134261,1968278
4/30/2021,1558553.0,171563,2546029
4/29/2021,1526681.0,154695,2499461
4/28/2021,1184326.0,119629,2256442
4/27/2021,1077199.0,110913,2102068
4/26/2021,1369410.0,119854,2412770
4/25/2021,1571220.0,128875,2506809
4/24/2021,1259724.0,114459,1990464
4/23/2021,1521393.0,123464,2521897
4/22/2021,1509649.0,111627,2526961
4/21/2021,1164099.0,98968,2254209
4/20/2021,1082443.0,92859,2227475
4/19/2021,1412500.0,99344,2594171
4/18/2021,1572383.0,105382,2356802
4/17/2021,1277815.0,97236,1988205
4/16/2021,1468218.0,106385,2457133
4/15/2021,1491435.0,95085,2616158
4/14/2021,1152703.0,90784,2317381
4/13/2021,1085034.0,87534,2208688
4/12/2021,1468972.0,102184,2484580
4/11/2021,1561495.0,90510,2446801
4/10/2021,1378237.0,93645,2059142
4/9/2021,1549181.0,108977,2590499
4/8/2021,1510829.0,104090,2487398
4/7/2021,1230939.0,94931,2229276
4/6/2021,1195306.0,97130,2091056
4/5/2021,1561959.0,108310,2384091
4/4/2021,1543474.0,122029,2462929
4/3/2021,1397958.0,118302,2011715
4/2/2021,1580785.0,129763,2476884
4/1/2021,1562239.0,124021,2411500
3/31/2021,1278113.0,136023,2151626
3/30/2021,1130520.0,146348,2026256
3/29/2021,1406234.0,154080,2360053
3/28/2021,1574228.0,180002,2510294
3/27/2021,1408198.0,184027,2172920
3/26/2021,1535156.0,199644,2538384
3/25/2021,1444744.0,203858,2487162
3/24/2021,1164954.0,239234,2273811
3/23/2021,1076453.0,279018,2151913
3/22/2021,1360290.0,331431,2434370
3/21/2021,1543136.0,454516,2542643
3/20/2021,1373259.0,548132,2227181
3/19/2021,1477841.0,593167,2559307
3/18/2021,1413141.0,620883,2513231
3/17/2021,1146539.0,779631,2320885
3/16/2021,1092548.0,953699,2177929
3/15/2021,1267345.0,1257823,2465709
3/14/2021,1345284.0,1519192,2545742
3/13/2021,1227484.0,1485553,2274658
3/12/2021,1409771.0,1714372,2634215
3/11/2021,1286894.0,1788456,2503924
3/10/2021,974221.0,1702686,2187298
3/9/2021,825745.0,1617220,2122898
3/8/2021,1119303.0,1909363,2378673
3/7/2021,1278557.0,2119867,2485430
3/6/2021,992406.0,1844811,2156262
3/5/2021,1168734.0,2198517,2543689
3/4/2021,1107534.0,2130015,2402692
3/3/2021,826924.0,1877401,2143619
3/2/2021,744812.0,1736393,1979558
3/1/2021,1049692.0,2089641,2257920
2/28/2021,1190682.0,2353150,2307393
2/27/2021,917282.0,1949696,2015079
2/26/2021,1096348.0,2441643,1861286
2/25/2021,1051149.0,2364727,2160322
2/24/2021,802230.0,2075554,2197938
2/23/2021,714725.0,1919803,2274217
2/22/2021,963280.0,2267382,2331841
2/21/2021,1115479.0,2380359,2415570
2/20/2021,942238.0,1951535,2351856
2/19/2021,1059452.0,2429489,2022861
2/18/2021,914823.0,2358511,2177690
2/17/2021,773422.0,2129862,2476445
2/16/2021,738825.0,2190300,2147045
2/15/2021,967693.0,2494922,1922613
2/14/2021,946458.0,2198657,2227730
2/13/2021,900696.0,1972248,1950385
2/12/2021,1151420.0,2507588,1620239
2/11/2021,1034514.0,2415185,2055827
2/10/2021,735009.0,2038375,2105696
2/9/2021,617619.0,1814047,1648328
